Datos Eléctricos STC                                      N-Type TOPCon 500W,,
,,
Máxima potencia (Pmax/W),500W ±3%,
"Corriente de potencia máxima (Imp)                                                 13,50A",,
Voltaje de potencia máxima (Vmp),"37,05V",
"Corriente de cortocircuito (Isc)                                                      14,25A ±5%",,
Voltaje de circuito abierto (Voc),"44,40V ±4%",
"Eficiencia del módulo                                                                          22,25%",,
Capacidad máx. fusible en serie,25A,
Número de diodos                                                                            3,,
Tolerancia positiva en vatios,0 ~ +5W,
"Condiciones de prueba estándar                                     1000 W/m², 25 °C , AM 1.5",,
Tensión máxima del sistema,1500Vdc,
"Coeficiente de temperatura Isc                                                                        0,043% / oC",,
Coeficiente de temperatura Voc,"-0,24% / oC",
"Coeficiente de temperatura Pmp                                                                     -0,30% / oC",,
Rango temperatura funcionamiento,-40oC / +85oC,
Temperatura operación célula (TONC)                                               45oC,,
Capacidad de carga cubierta del módulo,5400Pa (IEC61215) (nieve),
Capacidad de carga cara frontal/trasera                        2400Pa (IEC61215) (viento),,
"*Condiciones Estandar de Medida STC: Irradiación 1.000 W/m2, espectro AM1.5, célula a 25°C.",,
,,
Rendimiento Eléctrico (TONC),,
,,
Potencia máxima (Pmax/W),382W,
"Voltaje de potencia máxima (Vmp)                                                    33,85V",,
Corriente de potencia máxima (Imp),"11,28A",
"Voltaje de circuito abierto (Voc)                                                          40,5V",,
Corriente de cortocircuito (Isc),"11,89A",
